Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR799773_1_paired_trimmomatic	SRR799773_1_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	3020111.0	0.0	35-73	46.0	89.80798799631376	71.10583054728784	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799773_1_sickle	SRR799773_1_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	3132622.0	0.0	35-73	46.0	89.23313452814592	71.40649079269699	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799773_2	SRR799773_2.fastq	Conventional base calls	Sanger / Illumina 1.9	3489607.0	0.0	73.0	46.0	87.6749383385822	73.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR799773_2_paired_trimmomatic	SRR799773_2_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	3020111.0	0.0	35-73	46.0	87.45532978717824	71.6399658820487	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799773_2_sickle	SRR799773_2_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	3132622.0	0.0	35-73	46.0	86.75784870128604	71.81127375087068	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799774_1	SRR799774_1.fastq	Conventional base calls	Sanger / Illumina 1.9	3418757.0	0.0	73.0	47.0	80.15524336573709	73.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR799774_1_paired_trimmomatic	SRR799774_1_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	2964403.0	0.0	35-73	46.0	78.79939920565474	71.12301869887462	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799774_1_sickle	SRR799774_1_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	3073294.0	0.0	35-73	46.0	77.89262093478155	71.4185128399691	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799774_2	SRR799774_2.fastq	Conventional base calls	Sanger / Illumina 1.9	3418757.0	0.0	73.0	47.0	75.53395616785599	73.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR799774_2_paired_trimmomatic	SRR799774_2_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	2964403.0	0.0	35-73	46.0	75.40362383573695	71.67479219255951	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799774_2_sickle	SRR799774_2_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	3073294.0	0.0	35-73	46.0	74.14356624265376	71.84751735434358	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR799775_1	SRR799775_1.fastq	Conventional base calls	Sanger / Illumina 1.9	3147358.0	0.0	73.0	45.0	88.34692020944348	73.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
SRR799775_1_paired_trimmomatic	SRR799775_1_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	2735328.0	0.0	35-73	44.0	87.90884258263065	71.21152783139719	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR799775_1_sickle	SRR799775_1_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	2835554.0	0.0	35-73	44.0	87.15939542071787	71.49405830395048	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR799775_2	SRR799775_2.fastq	Conventional base calls	Sanger / Illumina 1.9	3147358.0	0.0	73.0	45.0	85.41593329044919	73.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
SRR799775_2_paired_trimmomatic	SRR799775_2_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	2735328.0	0.0	35-73	44.0	86.05110362936229	71.74563416160694	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR799775_2_sickle	SRR799775_2_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	2835554.0	0.0	35-73	45.0	85.09382001323019	71.9024190687252	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR799776_1	SRR799776_1.fastq	Conventional base calls	Sanger / Illumina 1.9	3855726.0	0.0	73.0	48.0	71.19478280589897	73.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR799776_1_paired_trimmomatic	SRR799776_1_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	3332440.0	0.0	35-73	48.0	68.39536200912012	71.08938345476588	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR799776_1_sickle	SRR799776_1_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	3455682.0	0.0	35-73	48.0	67.2778140099933	71.38557280444208	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR799776_2	SRR799776_2.fastq	Conventional base calls	Sanger / Illumina 1.9	3855726.0	0.0	73.0	48.0	64.79497824475644	73.0	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
SRR799776_2_paired_trimmomatic	SRR799776_2_paired_trimmomatic.fastq	Conventional base calls	Sanger / Illumina 1.9	3332440.0	0.0	35-73	48.0	62.98543659391097	71.60324566983952	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR799776_2_sickle	SRR799776_2_sickle.fastq	Conventional base calls	Sanger / Illumina 1.9	3455682.0	0.0	35-73	48.0	61.53765555296356	71.77928119543407	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
