#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN19817_c0_g1_i11:901-2649  -            583 41297at7898          -            477         0 1013.2   9.2   1   2  1.1e-295    2e-294  975.9   2.9     1   451     8   505     8   524 0.95 -
TRINITY_DN19817_c0_g1_i11:901-2649  -            583 41297at7898          -            477         0 1013.2   9.2   2   2   5.7e-11   9.9e-10   37.1   0.5   440   477   534   583   520   583 0.80 -
TRINITY_DN27071_c0_g5_i1:8-559      -            184 41297at7898          -            477   1.3e-65  221.4   0.1   1   1     8e-67   1.4e-65  221.3   0.1    16   198     3   184     1   184 0.98 -
TRINITY_DN14358_c0_g2_i2:0-806      -            269 41297at7898          -            477   1.3e-62  211.4   0.2   1   1   9.2e-64   1.6e-62  211.2   0.2     3   261     9   268     7   269 0.93 -
TRINITY_DN14358_c0_g2_i1:1-771      -            257 41297at7898          -            477     3e-58  197.1   0.4   1   1     2e-59   3.5e-58  196.9   0.4     3   250     9   257     7   257 0.93 -
TRINITY_DN27071_c0_g1_i1:0-524      -            175 41297at7898          -            477   3.1e-58  197.1   0.2   1   1   1.9e-59   3.4e-58  196.9   0.2    11   185     2   175     1   175 0.97 -
TRINITY_DN33296_c0_g1_i1:2-523      -            174 41297at7898          -            477     6e-57  192.8   0.2   1   1   3.8e-58   6.5e-57  192.7   0.2    11   183     2   173     1   174 0.97 -
TRINITY_DN17854_c0_g1_i1:21-494     -            158 41297at7898          -            477   2.9e-50  170.8   0.4   1   1   1.8e-51   3.1e-50  170.7   0.4    11   167     2   157     1   158 0.96 -
TRINITY_DN15231_c0_g1_i1:187-1017   -            277 41297at7898          -            477   6.6e-49  166.3   0.0   1   1   4.5e-50   7.8e-49  166.1   0.0    15   263     5   258     1   269 0.89 -
TRINITY_DN15231_c0_g1_i2:187-1017   -            277 41297at7898          -            477   6.6e-49  166.3   0.0   1   1   4.5e-50   7.8e-49  166.1   0.0    15   263     5   258     1   269 0.89 -
TRINITY_DN1263_c0_g2_i1:165-1007    -            281 41297at7898          -            477   7.1e-49  166.2   0.1   1   1   5.1e-50   8.9e-49  165.9   0.1    15   265     9   264     3   275 0.89 -
TRINITY_DN1263_c0_g2_i2:165-1007    -            281 41297at7898          -            477   7.1e-49  166.2   0.1   1   1   5.1e-50   8.9e-49  165.9   0.1    15   265     9   264     3   275 0.89 -
TRINITY_DN1263_c0_g2_i5:155-997     -            281 41297at7898          -            477     2e-48  164.7   0.1   1   1   1.4e-49   2.5e-48  164.4   0.1    15   265     9   264     3   275 0.89 -
TRINITY_DN15122_c0_g1_i1:20-463     -            148 41297at7898          -            477   2.2e-48  164.6   1.5   1   1   1.4e-49   2.4e-48  164.4   1.5    12   157     2   146     1   148 0.97 -
TRINITY_DN12885_c0_g1_i1:255-1088   -            278 41297at7898          -            477   3.3e-48  164.0   0.0   1   1   2.1e-49   3.7e-48  163.8   0.0    54   262    38   255     1   265 0.85 -
TRINITY_DN12885_c0_g1_i2:255-1088   -            278 41297at7898          -            477   3.3e-48  164.0   0.0   1   1   2.1e-49   3.7e-48  163.8   0.0    54   262    38   255     1   265 0.85 -
TRINITY_DN10540_c0_g3_i1:951-1784   -            278 41297at7898          -            477   9.3e-47  159.2   0.0   1   1   6.1e-48   1.1e-46  159.0   0.0     7   266     9   277     3   278 0.91 -
TRINITY_DN17854_c0_g1_i2:39-485     -            149 41297at7898          -            477   2.6e-46  157.7   2.0   1   1   1.7e-47     3e-46  157.5   2.0    11   155     2   145     1   148 0.96 -
TRINITY_DN16931_c0_g1_i1:20-571     -            184 41297at7898          -            477   1.5e-45  155.2   0.0   1   1     1e-46   1.8e-45  155.0   0.0   117   262     1   146     1   159 0.97 -
TRINITY_DN4565_c0_g1_i7:1448-2161   -            238 41297at7898          -            477   8.3e-44  149.5   0.0   1   1   5.3e-45   9.2e-44  149.3   0.0    17   250     2   237     1   238 0.95 -
TRINITY_DN7289_c0_g1_i7:2342-3196   -            285 41297at7898          -            477     4e-43  147.2   0.0   1   1   2.7e-44   4.7e-43  147.0   0.0    17   250     1   235     1   252 0.94 -
TRINITY_DN7289_c0_g1_i9:2333-3187   -            285 41297at7898          -            477     4e-43  147.2   0.0   1   1   2.7e-44   4.7e-43  147.0   0.0    17   250     1   235     1   252 0.94 -
TRINITY_DN27071_c0_g1_i2:2-427      -            142 41297at7898          -            477   5.5e-43  146.8   1.4   1   1   3.5e-44     6e-43  146.6   1.4    12   153     2   142     1   142 0.97 -
TRINITY_DN26269_c0_g1_i3:114-980    -            289 41297at7898          -            477   3.9e-42  144.0   0.0   1   1   2.9e-43   5.1e-42  143.6   0.0    10   264     5   266     3   274 0.91 -
TRINITY_DN34509_c0_g1_i8:435-1322   -            296 41297at7898          -            477   4.1e-42  143.9   0.0   1   1   2.8e-43   4.9e-42  143.6   0.0    16   263     1   251     1   263 0.93 -
TRINITY_DN34509_c0_g1_i11:435-1322  -            296 41297at7898          -            477   4.3e-42  143.8   0.0   1   1     3e-43   5.2e-42  143.6   0.0    16   263     1   251     1   260 0.93 -
TRINITY_DN34509_c0_g1_i2:435-1322   -            296 41297at7898          -            477   4.3e-42  143.8   0.0   1   1     3e-43   5.2e-42  143.6   0.0    16   263     1   251     1   260 0.93 -
TRINITY_DN34509_c0_g1_i4:436-1323   -            296 41297at7898          -            477   4.3e-42  143.8   0.0   1   1     3e-43   5.2e-42  143.6   0.0    16   263     1   251     1   260 0.93 -
TRINITY_DN34509_c0_g1_i5:435-1322   -            296 41297at7898          -            477   4.3e-42  143.8   0.0   1   1     3e-43   5.2e-42  143.6   0.0    16   263     1   251     1   260 0.93 -
TRINITY_DN34509_c0_g1_i6:436-1323   -            296 41297at7898          -            477   4.3e-42  143.8   0.0   1   1     3e-43   5.2e-42  143.6   0.0    16   263     1   251     1   260 0.93 -
TRINITY_DN7289_c0_g1_i2:2342-3199   -            286 41297at7898          -            477   4.4e-42  143.8   0.0   1   1     3e-43   5.1e-42  143.6   0.0    17   250     1   236     1   253 0.93 -
TRINITY_DN3221_c0_g1_i1:504-1391    -            296 41297at7898          -            477   4.4e-42  143.8   0.0   1   1     3e-43   5.3e-42  143.5   0.0    16   263     1   251     1   262 0.93 -
TRINITY_DN3221_c0_g1_i6:746-1633    -            296 41297at7898          -            477   4.4e-42  143.8   0.0   1   1     3e-43   5.3e-42  143.5   0.0    16   263     1   251     1   262 0.93 -
TRINITY_DN26269_c1_g1_i4:12-803     -            264 41297at7898          -            477   9.5e-42  142.7   0.0   1   1   6.6e-43   1.1e-41  142.4   0.0    10   261     5   263     3   264 0.90 -
TRINITY_DN4565_c0_g1_i6:1362-2075   -            238 41297at7898          -            477   7.6e-41  139.7   0.0   1   1   4.8e-42   8.4e-41  139.6   0.0    17   250     2   237     1   238 0.95 -
TRINITY_DN4565_c0_g1_i3:1362-2075   -            238 41297at7898          -            477   1.4e-40  138.8   0.0   1   1   9.2e-42   1.6e-40  138.6   0.0    17   250     2   237     1   238 0.95 -
TRINITY_DN3299_c0_g1_i1:949-1821    -            291 41297at7898          -            477     5e-40  137.0   0.0   1   1   3.4e-41   5.8e-40  136.8   0.0     8   263    36   290    31   291 0.93 -
TRINITY_DN3299_c0_g1_i2:947-1819    -            291 41297at7898          -            477     5e-40  137.0   0.0   1   1   3.4e-41   5.8e-40  136.8   0.0     8   263    36   290    31   291 0.93 -
TRINITY_DN6038_c0_g1_i8:7-711       -            235 41297at7898          -            477     7e-40  136.5   0.0   1   1   5.1e-41   8.8e-40  136.2   0.0    16   225     7   227     2   234 0.88 -
TRINITY_DN9444_c0_g1_i5:502-1272    -            257 41297at7898          -            477   1.2e-39  135.8   0.0   1   1   7.6e-41   1.3e-39  135.6   0.0    16   263     5   255     2   257 0.93 -
TRINITY_DN9444_c0_g1_i6:502-1272    -            257 41297at7898          -            477   1.2e-39  135.8   0.0   1   1   7.6e-41   1.3e-39  135.6   0.0    16   263     5   255     2   257 0.93 -
TRINITY_DN2079_c0_g3_i1:276-1142    -            289 41297at7898          -            477   1.3e-39  135.7   0.0   1   1   9.2e-41   1.6e-39  135.3   0.0    10   263    13   277     6   284 0.87 -
TRINITY_DN2079_c0_g3_i3:276-1142    -            289 41297at7898          -            477   1.3e-39  135.7   0.0   1   1   9.2e-41   1.6e-39  135.3   0.0    10   263    13   277     6   284 0.87 -
TRINITY_DN3019_c0_g1_i4:1434-2285   -            284 41297at7898          -            477   1.4e-39  135.5   0.0   1   1     1e-40   1.7e-39  135.2   0.0    11   263    14   277    10   283 0.86 -
TRINITY_DN3019_c0_g1_i5:832-1683    -            284 41297at7898          -            477   1.8e-39  135.1   0.0   1   1   1.4e-40   2.4e-39  134.8   0.0    11   263    14   277    10   283 0.86 -
TRINITY_DN3019_c0_g1_i8:1479-2330   -            284 41297at7898          -            477   1.8e-39  135.1   0.0   1   1   1.4e-40   2.4e-39  134.8   0.0    11   263    14   277    10   283 0.86 -
TRINITY_DN2079_c1_g1_i1:88-1428     -            447 41297at7898          -            477   3.7e-39  134.1   0.0   1   1     3e-40   5.2e-39  133.7   0.0    10   264    13   278     8   299 0.86 -
TRINITY_DN2079_c1_g1_i2:88-1428     -            447 41297at7898          -            477   3.7e-39  134.1   0.0   1   1     3e-40   5.2e-39  133.7   0.0    10   264    13   278     8   299 0.86 -
TRINITY_DN24956_c0_g1_i1:2-664      -            221 41297at7898          -            477   4.5e-39  133.9   0.8   1   1   3.1e-40   5.4e-39  133.6   0.8    11   205    18   221    11   221 0.91 -
TRINITY_DN26269_c1_g1_i1:0-722      -            241 41297at7898          -            477     1e-38  132.7   0.0   1   1   7.5e-40   1.3e-38  132.3   0.0    10   228     5   225     3   234 0.92 -
TRINITY_DN1805_c0_g1_i1:213-1133    -            307 41297at7898          -            477     1e-38  132.7   0.0   1   1   7.2e-40   1.2e-38  132.4   0.0    10   262    12   276     5   292 0.83 -
TRINITY_DN1805_c0_g1_i2:213-1133    -            307 41297at7898          -            477     1e-38  132.7   0.0   1   1   7.2e-40   1.2e-38  132.4   0.0    10   262    12   276     5   292 0.83 -
TRINITY_DN7571_c0_g1_i1:1112-1762   -            217 41297at7898          -            477   1.6e-38  132.0   0.0   1   1   1.1e-39   1.8e-38  131.8   0.0    15   209     6   212     1   216 0.88 -
TRINITY_DN6355_c0_g2_i1:18-767      -            250 41297at7898          -            477   3.2e-38  131.1   0.0   1   1     2e-39   3.5e-38  130.9   0.0    17   264     1   249     1   250 0.94 -
TRINITY_DN11724_c1_g1_i1:455-1192   -            246 41297at7898          -            477   4.8e-38  130.5   0.1   1   1   3.4e-39   5.9e-38  130.2   0.1    16   250     6   242     2   245 0.91 -
TRINITY_DN11724_c1_g1_i3:455-1177   -            241 41297at7898          -            477   5.9e-38  130.2   0.1   1   1   3.9e-39   6.8e-38  130.0   0.1    17   250     2   237     1   240 0.91 -
TRINITY_DN4005_c0_g1_i6:1863-2636   -            258 41297at7898          -            477   1.4e-37  129.0   0.0   1   1   8.8e-39   1.5e-37  128.8   0.0    15   253     6   249     1   257 0.87 -
TRINITY_DN4005_c0_g1_i3:676-1449    -            258 41297at7898          -            477   1.6e-37  128.8   0.0   1   1   9.6e-39   1.7e-37  128.7   0.0    15   255     6   251     1   258 0.85 -
TRINITY_DN4005_c0_g1_i5:987-1760    -            258 41297at7898          -            477   1.6e-37  128.8   0.0   1   1   9.6e-39   1.7e-37  128.7   0.0    15   255     6   251     1   258 0.85 -
TRINITY_DN9112_c0_g1_i1:384-1163    -            260 41297at7898          -            477   2.2e-37  128.3   0.1   1   1   1.5e-38   2.6e-37  128.0   0.1     9   212     3   205     1   219 0.89 -
TRINITY_DN4005_c0_g1_i7:1779-2639   -            287 41297at7898          -            477   4.5e-37  127.3   0.0   1   1     3e-38   5.3e-37  127.0   0.0    15   255     7   252     1   267 0.86 -
TRINITY_DN11724_c1_g1_i5:455-1177   -            241 41297at7898          -            477   5.7e-37  126.9   0.1   1   1   3.7e-38   6.5e-37  126.7   0.1    17   250     2   237     1   240 0.92 -
TRINITY_DN4005_c0_g1_i4:6-692       -            229 41297at7898          -            477   9.6e-37  126.2   0.0   1   1   6.9e-38   1.2e-36  125.9   0.0    14   213    10   211     3   226 0.89 -
TRINITY_DN20309_c0_g2_i1:174-851    -            226 41297at7898          -            477     2e-36  125.1   0.0   1   1   1.3e-37   2.3e-36  124.9   0.0    10   210    12   218     6   226 0.90 -
TRINITY_DN893_c0_g1_i1:2782-3498    -            239 41297at7898          -            477   2.8e-36  124.7   0.0   1   1   1.8e-37   3.1e-36  124.5   0.0    17   250     2   238     1   239 0.94 -
TRINITY_DN9594_c1_g1_i6:1862-2953   -            364 41297at7898          -            477   5.2e-36  123.8   0.0   1   1     4e-37     7e-36  123.3   0.0    11   265     4   271     2   280 0.85 -
TRINITY_DN4005_c0_g1_i11:6-659      -            218 41297at7898          -            477   5.8e-36  123.6   0.0   1   1   3.9e-37   6.8e-36  123.4   0.0    17   213     2   200     1   215 0.90 -
TRINITY_DN18358_c0_g1_i2:338-1072   -            245 41297at7898          -            477   6.8e-36  123.4   0.0   1   1   4.7e-37   8.2e-36  123.1   0.0    16   246     6   238     2   244 0.88 -
TRINITY_DN893_c0_g1_i4:2839-3555    -            239 41297at7898          -            477     8e-36  123.1   0.0   1   1   5.1e-37   8.9e-36  123.0   0.0    17   250     2   238     1   239 0.93 -
TRINITY_DN893_c0_g1_i6:2826-3542    -            239 41297at7898          -            477     8e-36  123.1   0.0   1   1   5.1e-37   8.9e-36  123.0   0.0    17   250     2   238     1   239 0.93 -
TRINITY_DN11222_c0_g2_i1:1601-2389  -            263 41297at7898          -            477   8.9e-36  123.0   0.0   1   1   6.3e-37   1.1e-35  122.7   0.0    16   256     6   249     2   261 0.88 -
TRINITY_DN2239_c0_g1_i11:1123-2034  -            304 41297at7898          -            477     1e-35  122.8   0.0   1   1   6.9e-37   1.2e-35  122.6   0.0     9   264    40   298    32   303 0.88 -
TRINITY_DN2239_c0_g1_i16:1123-2034  -            304 41297at7898          -            477     1e-35  122.8   0.0   1   1   6.9e-37   1.2e-35  122.6   0.0     9   264    40   298    32   303 0.88 -
TRINITY_DN2239_c0_g1_i8:1126-2037   -            304 41297at7898          -            477     1e-35  122.8   0.0   1   1   6.9e-37   1.2e-35  122.6   0.0     9   264    40   298    32   303 0.88 -
TRINITY_DN32026_c0_g2_i1:2154-2960  -            269 41297at7898          -            477     1e-35  122.8   0.0   1   1   8.2e-37   1.4e-35  122.3   0.0    17   263     3   262     1   265 0.84 -
TRINITY_DN32026_c0_g2_i2:2154-2960  -            269 41297at7898          -            477     1e-35  122.8   0.0   1   1   8.2e-37   1.4e-35  122.3   0.0    17   263     3   262     1   265 0.84 -
TRINITY_DN32026_c0_g2_i3:2154-2960  -            269 41297at7898          -            477     1e-35  122.8   0.0   1   1   8.2e-37   1.4e-35  122.3   0.0    17   263     3   262     1   265 0.84 -
TRINITY_DN2076_c0_g1_i3:1175-2059   -            295 41297at7898          -            477   2.1e-35  121.8   0.0   1   1   1.4e-36   2.5e-35  121.5   0.0    16   263     1   253     1   262 0.93 -
TRINITY_DN9594_c1_g1_i1:1862-2953   -            364 41297at7898          -            477   2.1e-35  121.8   0.0   1   1   1.6e-36   2.8e-35  121.3   0.0    11   265     4   271     2   280 0.85 -
TRINITY_DN2076_c0_g1_i2:1175-2059   -            295 41297at7898          -            477   2.5e-35  121.5   0.0   1   1   1.8e-36   3.1e-35  121.2   0.0    16   263     1   253     1   262 0.93 -
TRINITY_DN9594_c1_g1_i3:523-1617    -            365 41297at7898          -            477   2.9e-35  121.3   0.0   1   1   2.2e-36   3.9e-35  120.9   0.0    11   265     4   272     2   281 0.85 -
TRINITY_DN1052_c0_g1_i20:1243-2004  -            254 41297at7898          -            477   3.1e-35  121.2   0.0   1   1   2.1e-36   3.7e-35  121.0   0.0    17   263     2   251     1   253 0.92 -
TRINITY_DN1052_c0_g1_i23:1319-2080  -            254 41297at7898          -            477   3.1e-35  121.2   0.0   1   1   2.1e-36   3.7e-35  121.0   0.0    17   263     2   251     1   253 0.92 -
TRINITY_DN1052_c0_g1_i31:1263-2024  -            254 41297at7898          -            477   3.1e-35  121.2   0.0   1   1   2.1e-36   3.7e-35  121.0   0.0    17   263     2   251     1   253 0.92 -
TRINITY_DN2172_c0_g1_i4:1581-2456   -            292 41297at7898          -            477   3.7e-35  120.9   0.0   1   1   2.6e-36   4.4e-35  120.7   0.0    15   272     5   270     1   281 0.84 -
TRINITY_DN2172_c0_g1_i7:1521-2396   -            292 41297at7898          -            477   3.7e-35  120.9   0.0   1   1   2.6e-36   4.4e-35  120.7   0.0    15   272     5   270     1   281 0.84 -
TRINITY_DN6127_c0_g2_i2:1941-2924   -            328 41297at7898          -            477   3.7e-35  120.9   0.0   1   1   2.9e-36     5e-35  120.5   0.0    11   268    35   300    29   315 0.83 -
TRINITY_DN17307_c0_g1_i2:68-703     -            212 41297at7898          -            477   4.9e-35  120.6   0.0   1   1   3.1e-36   5.4e-35  120.4   0.0    59   261     1   211     1   212 0.91 -
TRINITY_DN6845_c0_g1_i2:3700-4605   -            302 41297at7898          -            477     5e-35  120.5   0.0   1   1   3.4e-36   5.9e-35  120.3   0.0    11   256    53   299    45   302 0.93 -
TRINITY_DN6127_c0_g2_i1:1940-2923   -            328 41297at7898          -            477   6.5e-35  120.1   0.0   1   1   4.9e-36   8.5e-35  119.8   0.0    10   268    34   300    26   315 0.84 -
TRINITY_DN2076_c0_g1_i6:1147-1908   -            254 41297at7898          -            477   8.2e-35  119.8   0.0   1   1   5.2e-36   9.1e-35  119.7   0.0    17   263     1   252     1   254 0.93 -
TRINITY_DN24806_c0_g1_i1:1190-1939  -            250 41297at7898          -            477   9.7e-35  119.6   0.0   1   1   5.7e-36     1e-34  119.5   0.0    17   223     3   207     1   250 0.84 -
TRINITY_DN24806_c0_g1_i3:1197-1946  -            250 41297at7898          -            477   9.7e-35  119.6   0.0   1   1   5.7e-36     1e-34  119.5   0.0    17   223     3   207     1   250 0.84 -
TRINITY_DN2076_c0_g1_i7:1147-1908   -            254 41297at7898          -            477     1e-34  119.5   0.0   1   1   6.5e-36   1.1e-34  119.4   0.0    17   263     1   252     1   254 0.93 -
TRINITY_DN26269_c1_g1_i3:1-546      -            182 41297at7898          -            477     1e-34  119.5   0.1   1   1   6.9e-36   1.2e-34  119.3   0.1    11   186     3   179     1   181 0.94 -
TRINITY_DN6956_c0_g1_i1:615-1388    -            258 41297at7898          -            477     1e-34  119.5   0.0   1   1     7e-36   1.2e-34  119.2   0.0    18   211     2   202     1   223 0.88 -
TRINITY_DN6956_c0_g1_i2:611-1384    -            258 41297at7898          -            477     1e-34  119.5   0.0   1   1     7e-36   1.2e-34  119.2   0.0    18   211     2   202     1   223 0.88 -
TRINITY_DN21732_c0_g1_i1:1230-2501  -            424 41297at7898          -            477   1.3e-34  119.1   0.0   1   1   9.7e-36   1.7e-34  118.8   0.0    17   266     3   253     1   265 0.89 -
TRINITY_DN15723_c0_g1_i6:1950-2807  -            286 41297at7898          -            477   1.5e-34  118.9   0.4   1   1   1.1e-35   1.8e-34  118.7   0.4    11   268     8   269     1   279 0.84 -
TRINITY_DN1052_c0_g1_i26:1251-2281  -            249 41297at7898          -            477   1.6e-34  118.8   0.0   1   1   1.1e-35   1.9e-34  118.6   0.0    17   253     2   240     1   248 0.91 -
TRINITY_DN17307_c0_g1_i4:50-859     -            270 41297at7898          -            477   1.7e-34  118.8   0.1   1   1   1.1e-35   1.9e-34  118.6   0.1    55   274     3   230     1   261 0.88 -
TRINITY_DN15723_c0_g1_i10:847-1704  -            286 41297at7898          -            477   1.8e-34  118.7   0.3   1   1   1.2e-35   2.1e-34  118.5   0.3    11   268     8   269     1   279 0.85 -
TRINITY_DN15723_c0_g1_i3:1950-2807  -            286 41297at7898          -            477   1.8e-34  118.7   0.3   1   1   1.2e-35   2.1e-34  118.5   0.3    11   268     8   269     1   279 0.85 -
TRINITY_DN15723_c0_g1_i4:1929-2786  -            286 41297at7898          -            477   1.8e-34  118.7   0.3   1   1   1.2e-35   2.1e-34  118.5   0.3    11   268     8   269     1   279 0.85 -
TRINITY_DN10450_c0_g1_i4:2495-3223  -            243 41297at7898          -            477   1.8e-34  118.7   0.0   1   1   1.2e-35   2.2e-34  118.4   0.0    16   250     6   242     3   243 0.93 -
TRINITY_DN10450_c0_g1_i6:2482-3210  -            243 41297at7898          -            477   1.8e-34  118.7   0.0   1   1   1.2e-35   2.2e-34  118.4   0.0    16   250     6   242     3   243 0.93 -
TRINITY_DN6247_c0_g1_i2:1-591       -            197 41297at7898          -            477   1.9e-34  118.6   0.0   1   1   1.2e-35     2e-34  118.5   0.0     4   197     4   197     1   197 0.95 -
TRINITY_DN10077_c0_g1_i11:382-1095  -            238 41297at7898          -            477   2.1e-34  118.5   0.0   1   1   1.3e-35   2.3e-34  118.4   0.0    17   250     2   237     1   238 0.90 -
TRINITY_DN10077_c0_g1_i12:382-1095  -            238 41297at7898          -            477   2.1e-34  118.5   0.0   1   1   1.3e-35   2.3e-34  118.4   0.0    17   250     2   237     1   238 0.90 -
TRINITY_DN10077_c0_g1_i13:382-1095  -            238 41297at7898          -            477   2.1e-34  118.5   0.0   1   1   1.3e-35   2.3e-34  118.4   0.0    17   250     2   237     1   238 0.90 -
TRINITY_DN10077_c0_g1_i14:365-1078  -            238 41297at7898          -            477   2.1e-34  118.5   0.0   1   1   1.3e-35   2.3e-34  118.4   0.0    17   250     2   237     1   238 0.90 -
TRINITY_DN10077_c0_g1_i16:382-1095  -            238 41297at7898          -            477   2.1e-34  118.5   0.0   1   1   1.3e-35   2.3e-34  118.4   0.0    17   250     2   237     1   238 0.90 -
TRINITY_DN10077_c0_g1_i8:382-1095   -            238 41297at7898          -            477   2.1e-34  118.5   0.0   1   1   1.3e-35   2.3e-34  118.4   0.0    17   250     2   237     1   238 0.90 -
TRINITY_DN15723_c0_g1_i8:847-1704   -            286 41297at7898          -            477   2.5e-34  118.2   0.4   1   1   1.7e-35   2.9e-34  118.0   0.4    11   268     8   269     1   279 0.84 -
TRINITY_DN13856_c0_g1_i1:711-1277   -            189 41297at7898          -            477   2.5e-34  118.2   0.0   1   1   1.6e-35   2.7e-34  118.1   0.0    17   202     2   188     1   189 0.96 -
TRINITY_DN13856_c0_g1_i2:727-1293   -            189 41297at7898          -            477   2.5e-34  118.2   0.0   1   1   1.6e-35   2.7e-34  118.1   0.0    17   202     2   188     1   189 0.96 -
TRINITY_DN1052_c0_g1_i16:1245-2251  -            241 41297at7898          -            477   3.5e-34  117.7   0.0   1   1   2.1e-35   3.7e-34  117.6   0.0    16   250     2   238     1   241 0.90 -
TRINITY_DN893_c0_g2_i1:1648-2364    -            239 41297at7898          -            477   5.6e-34  117.1   0.0   1   1   3.6e-35   6.2e-34  116.9   0.0    17   250     2   238     1   239 0.92 -
TRINITY_DN4953_c0_g2_i3:952-1680    -            243 41297at7898          -            477   6.5e-34  116.8   0.0   1   1   4.5e-35   7.9e-34  116.6   0.0    16   250     6   242     3   243 0.93 -
TRINITY_DN4953_c0_g2_i4:952-1680    -            243 41297at7898          -            477   6.5e-34  116.8   0.0   1   1   4.5e-35   7.9e-34  116.6   0.0    16   250     6   242     3   243 0.93 -
TRINITY_DN4953_c0_g2_i12:143-871    -            243 41297at7898          -            477   8.2e-34  116.5   0.0   1   1   5.7e-35   9.8e-34  116.3   0.0    16   250     6   242     3   243 0.93 -
TRINITY_DN10171_c0_g1_i1:2664-3449  -            262 41297at7898          -            477   3.4e-33  114.5   0.0   1   1   2.1e-34   3.6e-33  114.4   0.0    16   251     6   246     1   262 0.89 -
TRINITY_DN10171_c0_g1_i2:2617-3402  -            262 41297at7898          -            477   3.4e-33  114.5   0.0   1   1   2.1e-34   3.6e-33  114.4   0.0    16   251     6   246     1   262 0.89 -
